0, 0.000000
1, 0.000002
2, 0.000002
3, 0.000002
4, 0.000003
5, 0.000004
6, 0.000004
7, 0.000004
8, 0.000004
9, 0.000004
10, 0.000006
11, 0.000004
12, 0.000004
13, 0.000005
14, 0.000005
15, 0.000005
16, 0.000005
17, 0.000005
18, 0.000006
19, 0.000007
20, 0.000005
21, 0.000006
22, 0.000006
23, 0.000006
24, 0.000007
25, 0.000007
26, 0.000017
27, 0.000006
28, 0.000007
29, 0.000005
30, 0.000004
31, 0.000005
32, 0.000004
33, 0.000005
34, 0.000005
35, 0.000005
36, 0.000005
37, 0.000005
38, 0.000006
39, 0.000006
40, 0.000006
41, 0.000006
42, 0.000007
43, 0.000007
44, 0.000006
45, 0.000006
46, 0.000008
47, 0.000006
48, 0.000007
49, 0.000006
50, 0.000008
51, 0.000006
52, 0.000007
53, 0.000008
54, 0.000008
55, 0.000007
56, 0.000007
57, 0.000008
58, 0.000008
59, 0.000009
60, 0.000009
61, 0.000009
62, 0.000007
63, 0.000009
64, 0.000010
65, 0.000010
66, 0.000010
67, 0.000010
68, 0.000008
69, 0.000010
70, 0.000024
71, 0.000010
72, 0.000010
73, 0.000009
74, 0.000010
75, 0.000010
76, 0.000012
77, 0.000009
78, 0.000011
79, 0.000010
80, 0.000012
81, 0.000009
82, 0.000010
83, 0.000010
84, 0.000011
85, 0.000012
86, 0.000011
87, 0.000011
88, 0.000011
89, 0.000012
90, 0.000011
91, 0.000011
92, 0.000012
93, 0.000027
94, 0.000012
95, 0.000011
96, 0.000012
97, 0.000011
98, 0.000012
99, 0.000013
100, 0.000012
